timestamp,emotion,score,x,y,w,h
2026-04-10T11:42:02,happy,0.7200,142,86,253,253
2026-04-10T11:42:03,happy,0.7200,150,79,254,254
2026-04-10T11:42:04,neutral,0.6000,189,97,237,237
2026-04-10T11:42:05,happy,0.7200,279,79,179,179
2026-04-10T11:42:06,neutral,0.6000,284,89,183,183
2026-04-10T11:42:07,neutral,0.6000,274,88,187,187
2026-04-10T11:42:08,neutral,0.6000,274,92,186,186
2026-04-10T11:42:09,neutral,0.6000,243,80,196,196
2026-04-10T11:42:10,neutral,0.6000,214,62,244,244
2026-04-10T11:42:12,happy,0.7200,261,79,218,218
2026-04-10T11:42:13,happy,0.7200,244,68,229,229
2026-04-10T11:42:14,happy,0.7200,233,63,232,232
2026-04-10T11:42:15,happy,0.7200,232,65,225,225
2026-04-10T11:42:16,happy,0.7200,244,53,214,214
2026-04-10T11:42:17,happy,0.7200,239,53,211,211
2026-04-10T11:42:18,sleepy,0.5800,178,62,227,227
2026-04-10T11:42:19,happy,0.7200,219,65,223,223
2026-04-10T11:42:20,happy,0.7200,207,55,234,234
2026-04-10T11:42:21,happy,0.7200,215,59,224,224
2026-04-10T11:42:22,happy,0.7200,250,63,203,203
2026-04-10T11:42:23,happy,0.7200,255,63,220,220
2026-04-10T11:42:24,happy,0.7200,241,68,220,220
2026-04-10T11:42:25,neutral,0.6000,182,59,236,236
2026-04-10T11:42:26,neutral,0.6000,205,50,218,218
2026-04-10T11:42:27,sleepy,0.5800,213,31,203,203
2026-04-10T11:42:28,neutral,0.6000,192,46,224,224
2026-04-10T11:42:29,sleepy,0.5800,208,60,225,225
2026-04-10T11:42:30,sleepy,0.5800,189,60,228,228
2026-04-10T11:42:31,sleepy,0.5800,211,72,222,222
2026-04-10T11:42:32,happy,0.7200,256,61,214,214
2026-04-10T11:42:33,happy,0.7200,263,64,215,215
2026-04-10T11:42:35,happy,0.7200,248,57,234,234
2026-04-10T11:42:36,happy,0.7200,239,77,214,214
2026-04-10T11:42:37,happy,0.7200,242,78,211,211
2026-04-10T11:42:38,happy,0.7200,241,73,220,220
2026-04-10T11:42:39,happy,0.7200,245,75,219,219
2026-04-10T11:43:07,sleepy,0.5800,454,103,178,178
2026-04-10T11:43:08,neutral,0.6000,348,128,200,200
2026-04-10T11:43:09,neutral,0.6000,267,134,191,191
2026-04-10T11:43:10,neutral,0.6000,274,128,197,197
2026-04-10T11:43:11,neutral,0.6000,276,120,206,206
2026-04-10T11:43:12,neutral,0.6000,299,118,203,203
2026-04-10T11:43:13,happy,0.7200,302,121,196,196
2026-04-10T11:43:14,happy,0.7200,296,117,205,205
2026-04-10T11:43:15,happy,0.7200,303,123,193,193
2026-04-10T11:43:16,happy,0.7200,312,123,199,199
2026-04-10T11:43:18,neutral,0.6000,303,171,211,211
2026-04-10T11:43:19,sleepy,0.5800,438,217,194,194
2026-04-16T08:40:22,neutral,0.6000,292,119,265,265
2026-04-16T08:40:24,neutral,0.6000,298,103,260,260
2026-04-16T08:40:25,neutral,0.6000,368,54,261,261
2026-04-16T08:40:26,neutral,0.6000,253,75,236,236
2026-04-16T08:40:27,happy,0.7200,280,60,271,271
2026-04-16T08:40:28,neutral,0.6000,290,66,282,282
2026-04-16T08:40:29,neutral,0.6000,295,71,264,264
2026-04-16T08:40:30,neutral,0.6000,309,87,237,237
2026-04-16T08:40:31,happy,0.7200,328,90,244,244
2026-04-16T08:40:32,happy,0.7200,337,81,224,224
2026-04-16T08:40:33,happy,0.7200,339,89,247,247
2026-04-16T08:40:34,happy,0.7200,308,80,263,263
2026-04-16T08:40:35,happy,0.7200,319,86,268,268
2026-04-16T08:40:37,happy,0.7200,320,96,220,220
2026-04-16T08:40:38,happy,0.7200,321,90,257,257
2026-04-16T08:40:39,neutral,0.6000,316,91,262,262
2026-04-16T08:40:40,neutral,0.6000,318,93,264,264
2026-04-16T08:40:41,neutral,0.6000,316,89,269,269
2026-04-16T08:40:42,neutral,0.6000,320,91,257,257
2026-04-16T08:40:43,sleepy,0.5800,301,91,220,220
2026-04-16T08:40:44,sleepy,0.5800,342,102,80,80
2026-04-16T08:40:47,neutral,0.6000,301,55,257,257
2026-04-16T08:40:49,sleepy,0.5800,331,76,250,250
2026-04-16T08:40:50,neutral,0.6000,317,68,250,250
2026-04-16T08:40:51,sleepy,0.5800,289,58,236,236
2026-04-16T08:40:52,happy,0.7200,330,61,241,241
2026-04-16T08:40:53,happy,0.7200,344,65,242,242
2026-04-16T08:40:54,sleepy,0.5800,333,60,249,249
2026-04-16T08:40:55,happy,0.7200,329,58,252,252
2026-04-16T08:40:56,sleepy,0.5800,348,72,234,234
2026-04-16T08:40:57,happy,0.7200,347,72,238,238
2026-04-16T08:40:58,neutral,0.6000,369,90,227,227
2026-04-16T08:40:59,neutral,0.6000,253,67,241,241
2026-04-16T08:41:00,happy,0.7200,304,148,200,200
2026-04-16T08:41:01,sleepy,0.5800,216,117,226,226
2026-04-16T08:41:02,happy,0.7200,221,98,205,205
2026-04-16T08:41:03,happy,0.7200,262,85,259,259
2026-04-16T08:41:05,sleepy,0.5800,392,330,149,149
2026-04-16T08:41:05,happy,0.7200,340,83,273,273
2026-04-16T08:41:06,happy,0.7200,370,90,244,244
2026-04-16T08:41:07,happy,0.7200,329,85,256,256
2026-04-16T08:41:08,neutral,0.6000,353,83,252,252
2026-04-16T08:41:09,happy,0.7200,348,74,246,246
2026-04-16T08:41:10,neutral,0.6000,342,60,237,237
2026-04-16T08:41:11,happy,0.7200,356,101,259,259
2026-04-16T08:41:12,happy,0.7200,334,83,272,272
2026-04-16T08:41:13,neutral,0.6000,346,77,242,242
2026-04-16T08:41:14,neutral,0.6000,338,79,234,234
2026-04-16T08:41:15,neutral,0.6000,280,78,237,237
2026-04-16T08:41:16,happy,0.7200,342,71,256,256
2026-04-16T08:41:17,happy,0.7200,334,68,236,236
2026-04-16T08:41:19,happy,0.7200,348,67,247,247
2026-04-16T08:41:20,happy,0.7200,343,80,259,259
2026-04-16T08:41:21,neutral,0.6000,317,90,258,258
2026-04-16T08:41:22,happy,0.7200,284,98,255,255
